"現住人口之年齡分配-年 依 年底別, 鄉鎮市別, 性別 與 指標"

" "," "," "," 全年齡"," 0─4歲"," 5─9歲"," 10─14歲"," 15─19歲"," 20─24歲"," 25─29歲"," 30─34歲"," 35─39歲"," 40─44歲"," 45─49歲"," 50─54歲"," 55─59歲"," 60─64歲"," 65─69歲"," 70─74歲"," 75─79歲"," 80─84歲"," 85─89歲"," 90─94歲"," 95─99歲"," 100歲以上"
" "," "," 合計",33539,2691,2698,2644,2964,3636,3417,3311,3349,3374,2927,2528,1711,1961,1875,1595,994,622,268,90,14,1
" "," "," 男",17998,1423,1356,1383,1552,1876,1755,1827,1879,1945,1641,1361,869,1062,991,773,483,252,115,34,5,1
" "," "," 女",15541,1268,1342,1261,1412,1760,1662,1484,1470,1429,1286,1167,842,899,884,822,511,370,153,56,9,-
" "," 鹿谷鄉"
" "," "," 合計",15313,1135,1098,1104,1384,1698,1556,1407,1487,1724,1497,1223,806,1002,1023,918,658,356,159,54,3,-
" "," "," 男",8404,566,572,577,716,866,813,805,876,1022,896,695,422,524,493,426,317,143,64,28,1,-
" "," "," 女",6909,569,526,527,668,832,743,602,611,702,601,528,384,478,530,492,341,213,95,26,2,-
" "," 中寮鄉"
" "," "," 合計",12485,1125,826,805,971,1249,1220,1295,1478,1424,1132,960,812,981,968,824,571,340,146,49,3,1
" "," "," 男",7095,605,448,416,474,654,638,744,959,885,680,592,451,491,498,411,259,147,61,26,-,-
