"","區域名","土地面積","里數","鄰數","戶數","每戶平均人口","人口數","男","女","性別比","人口密度","年月"
"184","永康區","40.2753","39","1288","78784","2.84706285540211","224303","111219","113084","98.3507834883803","5569.2446735344","101.12"
"185","東區","13.4156","45","1240","71718","2.69070526227725","192972","93011","99961","93.0472884424926","14384.1497957602","101.12"
"186","南區","27.2681","39","845","44122","2.85612619554871","126018","63011","63007","100.00634850096","4621.44410501648","101.12"
"187","北區","10.434","43","855","49049","2.69593671634488","132233","64890","67343","96.3574536328943","12673.2796626414","101.12"
"188","安南區","107.2016","51","944","57244","3.19245685137307","182749","92644","90105","102.817823650186","1704.72269070611","101.12"
"189","安平區","11.0663","15","366","24001","2.6810549560435","64348","30760","33588","91.5803263070144","5814.77097132736","101.12"
"190","中西區","6.26","38","752","30518","2.57769185398781","78666","38453","40213","95.6233058961032","12566.4536741214","101.12"
"191","臺南市","2191.6531","752","14730","648283","2.89527875943068","1876960","943899","933061","101.161553210347","856.412905856315","100.12"
"192","新營區","38.5386","29","638","27563","2.84704132351341","78473","39085","39388","99.2307301716259","2036.21823314806","100.12"
"193","鹽水區","52.2455","25","326","10003","2.68829351194642","26891","14000","12891","108.602901248933","514.70461570853","100.12"
"194","白河區","126.4046","24","293","10965","2.82234382124943","30947","16197","14750","109.810169491525","244.824950990708","100.12"
"195","柳營區","61.2929","13","262","7802","2.87657011022815","22443","11741","10702","109.708465707344","366.159865171986","100.12"
"196","後壁區","72.2189","21","268","8840","2.89242081447964","25569","13315","12254","108.658397258038","354.048593927628","100.12"
"197","東山區","124.9178","16","311","8234","2.76548457614768","22771","12079","10692","112.972315750094","182.287872504959","100.12"
"198","麻豆區","53.9744","29","393","15163","3.0079140011871","45609","23272","22337","104.185879930161","845.011709254758","100.12"
"199","下營區","33.5291","15","271","9117","2.83020730503455","25803","13343","12460","107.086677367576","769.570313548529","100.12"
"200","六甲區","67.5471","12","231","7684","3.05947423217074","23509","12233","11276","108.487052146151","348.038627861152","100.12"
"201","官田區","70.7953","13","257","7639","2.87537635816206","21965","11237","10728","104.744593586875","310.260709397375","100.12"
"202","大內區","70.3125","10","145","4033","2.64666501363749","10674","5688","4986","114.079422382671","151.808","100.12"
"203","佳里區","38.9422","21","409","19566","3.02335684350404","59155","29368","29787","98.5933460905764","1519.0461761277","100.12"
"204","學甲區","53.9919","13","330","9569","2.88253736022573","27583","14121","13462","104.895260733918","510.872927235382","100.12"
"205","西港區","33.7666","12","241","7864","3.18781790437436","25069","12740","12329","103.333603698597","742.420024521273","100.12"
"206","七股區","110.1492","23","315","8054","3.0604668487708","24649","12877","11772","109.38668025824","223.778293441986","100.12"
"207","將軍區","41.9796","18","304","7417","2.86652285290549","21261","10838","10423","103.981579199846","506.460280707772","100.12"
"208","北門區","44.1003","13","206","4398","2.7862664847658","12254","6242","6012","103.825681969395","277.866590476709","100.12"
"209","新化區","62.0579","20","253","13831","3.18292242064927","44023","22524","21499","104.767663612261","709.385912188456","100.12"
"210","善化區","55.3097","21","360","14977","2.93750417306537","43995","22226","21769","102.099315540447","795.43009634838","100.12"
"211","新市區","47.8096","11","263","10968","3.19429248723559","35035","17615","17420","101.119402985075","732.802617047622","100.12"
"212","安定區","31.27","16","255","9457","3.20006344506715","30263","15680","14583","107.522457656175","967.796610169491","100.12"
"213","山上區","27.878","7","85","2723","2.84869629085567","7757","4081","3676","111.017410228509","278.248080924026","100.12"
"214","玉井區","76.3662","10","175","5097","2.98665881891309","15223","7863","7360","106.834239130435","199.342117324156","100.12"
"215","楠西區","109.6316","7","124","3556","2.93728908886389","10445","5540","4905","112.945973496432","95.2736254875419","100.12"
"216","南化區","171.5198","9","113","2821","3.13364055299539","8840","4826","4014","120.229197807673","51.5392392015382","100.12"
"217","左鎮區","74.9025","10","110","1982","2.70383451059536","5359","2980","2379","125.26271542665","71.5463435799873","100.12"
"218","仁德區","50.7664","18","497","25075","2.80087736789631","70232","35947","34285","104.847600991687","1383.43471272338","100.12"
"219","歸仁區","55.7913","21","630","20874","3.16681038612628","66104","33728","32376","104.175932789721","1184.84423198599","100.12"
"220","關廟區","53.6413","17","280","10752","3.31036086309524","35593","18479","17114","107.97592614234","663.537237166139","100.12"
"221","龍崎區","64.0814","8","95","1591","2.70961659333752","4311","2331","1980","117.727272727273","67.2738111214799","100.12"
"222","永康區","40.2753","39","1288","77034","2.86659137523691","220825","109626","111199","98.5854189336235","5482.88901634501","100.12"
"223","東區","13.4156","45","1240","71375","2.71498423817863","193782","93556","100226","93.3450402091274","14444.5272667641","100.12"
"224","南區","27.2681","39","845","43770","2.88163125428376","126129","63191","62938","100.40198290381","4625.514795677","100.12"
"225","北區","10.434","43","855","48697","2.71265170339035","132098","64952","67146","96.7324933726506","12660.3411922561","100.12"
"226","安南區","107.2016","51","944","55867","3.22170512109116","179987","91372","88615","103.111211420188","1678.95814987836","100.12"
"227","安平區","11.0663","15","366","23654","2.68846706688087","63593","30445","33148","91.8456618800531","5746.54581928919","100.12"
"228","中西區","6.26","38","752","30271","2.60120247101186","78741","38561","40180","95.9706321553011","12578.4345047923","100.12"
"229","臺南市","2191.6531","752","14730","640132","2.92719939012579","1873794","944044","929750","101.537402527561","854.968334176609","99.12"
"230","新營區","38.5386","29","638","27200","2.87150735294118","78105","39014","39091","99.8030237138983","2026.66936525977","99.12"
"231","鹽水區","52.2455","25","326","9942","2.73184469925568","27160","14157","13003","108.874875028839","519.853384502014","99.12"
"232","白河區","126.4046","24","293","10963","2.86372343336678","31395","16470","14925","110.35175879397","248.36912580713","99.12"
"233","柳營區","61.2929","13","262","7801","2.91321625432637","22726","11877","10849","109.475527698405","370.77703942871","99.12"
"234","後壁區","72.2189","21","268","8792","2.94404003639672","25884","13496","12388","108.944139489829","358.410333029165","99.12"
"235","東山區","124.9178","16","311","8218","2.81297152591871","23117","12307","10810","113.848288621647","185.057693939535","99.12"
"236","麻豆區","53.9744","29","393","15074","3.03801247180576","45795","23436","22359","104.816852274252","848.457787395506","99.12"
"237","下營區","33.5291","15","271","9108","2.86769872639438","26119","13528","12591","107.44182352474","778.99496258474","99.12"
"238","六甲區","67.5471","12","231","7625","3.10740983606557","23694","12306","11388","108.061116965227","350.777457507428","99.12"
"239","官田區","70.7953","13","257","7605","2.9207100591716","22212","11367","10845","104.813278008299","313.749641572251","99.12"
"240","大內區","70.3125","10","145","4066","2.68052139695032","10899","5806","5093","113.999607304143","155.008","99.12"
"241","佳里區","38.9422","21","409","19341","3.06442272891784","59269","29507","29762","99.1432027417512","1521.97359163067","99.12"
"242","學甲區","53.9919","13","330","9549","2.91800188501414","27864","14231","13633","104.386415315778","516.077411611742","99.12"
"243","西港區","33.7666","12","241","7812","3.2258064516129","25200","12833","12367","103.768092504245","746.299597827439","99.12"
"244","七股區","110.1492","23","315","8016","3.09568363273453","24815","12970","11845","109.497678345293","225.285340247591","99.12"
"245","將軍區","41.9796","18","304","7444","2.8988447071467","21579","10964","10615","103.287800282619","514.035388617328","99.12"
