"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"262"," 竹崎鄉","24","407","11545","37372","19936","17436","102.12","嘉義縣"
"263"," 梅山鄉","18","200","6780","20576","10911","9665","102.12","嘉義縣"
"264"," 番路鄉","11","115","4296","12174","6618","5556","102.12","嘉義縣"
"265"," 大埔鄉","5","49","1940","4567","2375","2192","102.12","嘉義縣"
"266"," 阿里山鄉","12","78","1935","5732","3048","2684","102.12","嘉義縣"
"267"," 嘉義縣","357","5347","181300","524783","273324","251459","103.12","嘉義縣"
"268"," 太保市","18","250","12158","37038","19077","17961","103.12","嘉義縣"
"269"," 朴子市","27","414","15405","43250","21923","21327","103.12","嘉義縣"
"270"," 布袋鎮","23","375","10115","28423","14565","13858","103.12","嘉義縣"
"271"," 大林鎮","21","317","11389","32159","16479","15680","103.12","嘉義縣"
"272"," 民雄鄉","28","522","24041","71903","36837","35066","103.12","嘉義縣"
"273"," 溪口鄉","14","205","5435","15393","8224","7169","103.12","嘉義縣"
"274"," 新港鄉","23","380","10589","33186","17576","15610","103.12","嘉義縣"
"275"," 六腳鄉","25","328","9024","24613","13052","11561","103.12","嘉義縣"
"276"," 東石鄉","23","357","9439","26235","13921","12314","103.12","嘉義縣"
"277"," 義竹鄉","22","311","7550","19578","10177","9401","103.12","嘉義縣"
"278"," 鹿草鄉","15","255","5820","16384","8771","7613","103.12","嘉義縣"
"279"," 水上鄉","26","409","17834","50726","26176","24550","103.12","嘉義縣"
"280"," 中埔鄉","22","375","15945","46156","24039","22117","103.12","嘉義縣"
"281"," 竹崎鄉","24","407","11592","36924","19704","17220","103.12","嘉義縣"
"282"," 梅山鄉","18","200","6762","20304","10782","9522","103.12","嘉義縣"
"283"," 番路鄉","11","115","4304","12089","6537","5552","103.12","嘉義縣"
"284"," 大埔鄉","5","49","1943","4658","2427","2231","103.12","嘉義縣"
"285"," 阿里山鄉","12","78","1955","5764","3057","2707","103.12","嘉義縣"
"286"," 嘉義縣","357","5347","181969","519839","270681","249158","104.12","嘉義縣"
"287"," 太保市","18","250","12381","37212","19146","18066","104.12","嘉義縣"
"288"," 朴子市","27","414","15548","42956","21776","21180","104.12","嘉義縣"
"289"," 布袋鎮","23","375","10041","27954","14300","13654","104.12","嘉義縣"
"290"," 大林鎮","21","317","11378","31697","16244","15453","104.12","嘉義縣"
"291"," 民雄鄉","28","522","24391","71862","36795","35067","104.12","嘉義縣"
"292"," 溪口鄉","14","205","5387","15113","8073","7040","104.12","嘉義縣"
"293"," 新港鄉","23","380","10637","32797","17311","15486","104.12","嘉義縣"
"294"," 六腳鄉","25","328","8985","24202","12860","11342","104.12","嘉義縣"
"295"," 東石鄉","23","357","9366","25751","13653","12098","104.12","嘉義縣"
"296"," 義竹鄉","22","311","7504","19258","10011","9247","104.12","嘉義縣"
"297"," 鹿草鄉","15","255","5795","16119","8666","7453","104.12","嘉義縣"
"298"," 水上鄉","26","409","17926","50431","26054","24377","104.12","嘉義縣"
"299"," 中埔鄉","22","375","15951","45724","23776","21948","104.12","嘉義縣"
"300"," 竹崎鄉","24","407","11693","36546","19522","17024","104.12","嘉義縣"
"301"," 梅山鄉","18","200","6763","20010","10644","9366","104.12","嘉義縣"
"302"," 番路鄉","11","115","4314","11865","6416","5449","104.12","嘉義縣"
"303"," 大埔鄉","5","49","1942","4621","2408","2213","104.12","嘉義縣"
"304"," 阿里山鄉","12","78","1967","5721","3026","2695","104.12","嘉義縣"
