"","區域名","里數","鄰數","戶數","人口數","男","女","年月","地區"
"249"," 義竹鄉",22,311,7477,21129,10937,10192,99.12,"嘉義縣"
"250"," 鹿草鄉",15,255,5733,17232,9265,7967,99.12,"嘉義縣"
"251"," 水上鄉",26,409,17410,52274,27004,25270,99.12,"嘉義縣"
"252"," 中埔鄉",22,375,15289,47579,24818,22761,99.12,"嘉義縣"
"253"," 竹崎鄉",24,407,11309,38608,20544,18064,99.12,"嘉義縣"
"254"," 梅山鄉",18,200,6646,21634,11463,10171,99.12,"嘉義縣"
"255"," 番路鄉",11,112,3948,11684,6367,5317,99.12,"嘉義縣"
"256"," 大埔鄉",5,49,1962,4649,2447,2202,99.12,"嘉義縣"
"257"," 阿里山鄉",12,78,2066,6226,3339,2887,99.12,"嘉義縣"
"258"," 嘉義縣",357,5345,177906,537942,280416,257526,100.12,"嘉義縣"
"259"," 太保市",18,250,11545,36673,18893,17780,100.12,"嘉義縣"
"260"," 朴子市",27,414,14857,43895,22343,21552,100.12,"嘉義縣"
"261"," 布袋鎮",23,375,10156,29664,15207,14457,100.12,"嘉義縣"
"262"," 大林鎮",21,317,11276,33207,17045,16162,100.12,"嘉義縣"
"263"," 民雄鄉",28,522,23146,72451,37173,35278,100.12,"嘉義縣"
"264"," 溪口鄉",14,205,5390,16015,8554,7461,100.12,"嘉義縣"
"265"," 新港鄉",23,380,10437,34231,18057,16174,100.12,"嘉義縣"
"266"," 六腳鄉",25,328,9144,25903,13731,12172,100.12,"嘉義縣"
"267"," 東石鄉",23,357,9505,27202,14449,12753,100.12,"嘉義縣"
"268"," 義竹鄉",22,311,7476,20653,10727,9926,100.12,"嘉義縣"
"269"," 鹿草鄉",15,255,5801,17022,9156,7866,100.12,"嘉義縣"
"270"," 水上鄉",26,409,17448,51793,26711,25082,100.12,"嘉義縣"
"271"," 中埔鄉",22,375,15539,47291,24663,22628,100.12,"嘉義縣"
"272"," 竹崎鄉",24,407,11441,38179,20344,17835,100.12,"嘉義縣"
"273"," 梅山鄉",18,200,6675,21171,11203,9968,100.12,"嘉義縣"
"274"," 番路鄉",11,113,4077,11881,6476,5405,100.12,"嘉義縣"
"275"," 大埔鄉",5,49,1927,4554,2402,2152,100.12,"嘉義縣"
"276"," 阿里山鄉",12,78,2066,6157,3282,2875,100.12,"嘉義縣"
"277"," 嘉義縣",357,5347,179676,533723,278219,255504,101.12,"嘉義縣"
"278"," 太保市",18,250,11775,36946,19039,17907,101.12,"嘉義縣"
"279"," 朴子市",27,414,15123,43855,22274,21581,101.12,"嘉義縣"
"280"," 布袋鎮",23,375,10194,29244,15013,14231,101.12,"嘉義縣"
"281"," 大林鎮",21,317,11396,32917,16918,15999,101.12,"嘉義縣"
"282"," 民雄鄉",28,522,23498,72286,37092,35194,101.12,"嘉義縣"
"283"," 溪口鄉",14,205,5444,15823,8442,7381,101.12,"嘉義縣"
"284"," 新港鄉",23,380,10496,33830,17853,15977,101.12,"嘉義縣"
"285"," 六腳鄉",25,328,9132,25356,13451,11905,101.12,"嘉義縣"
"286"," 東石鄉",23,357,9504,26713,14198,12515,101.12,"嘉義縣"
"287"," 義竹鄉",22,311,7533,20158,10474,9684,101.12,"嘉義縣"
"288"," 鹿草鄉",15,255,5846,16832,9041,7791,101.12,"嘉義縣"
"289"," 水上鄉",26,409,17608,51497,26599,24898,101.12,"嘉義縣"
"290"," 中埔鄉",22,375,15756,47025,24496,22529,101.12,"嘉義縣"
"291"," 竹崎鄉",24,407,11518,37923,20190,17733,101.12,"嘉義縣"
"292"," 梅山鄉",18,200,6759,20842,11047,9795,101.12,"嘉義縣"
"293"," 番路鄉",11,115,4246,12227,6661,5566,101.12,"嘉義縣"
"294"," 大埔鄉",5,49,1923,4547,2384,2163,101.12,"嘉義縣"
"295"," 阿里山鄉",12,78,1925,5702,3047,2655,101.12,"嘉義縣"
"296"," 嘉義縣",357,5347,180652,529229,275686,253543,102.12,"嘉義縣"
"297"," 太保市",18,250,11983,37023,19114,17909,102.12,"嘉義縣"
"298"," 朴子市",27,414,15263,43599,22067,21532,102.12,"嘉義縣"
"299"," 布袋鎮",23,375,10170,28701,14725,13976,102.12,"嘉義縣"
"300"," 大林鎮",21,317,11401,32593,16714,15879,102.12,"嘉義縣"
"301"," 民雄鄉",28,522,23773,72096,36911,35185,102.12,"嘉義縣"
"302"," 溪口鄉",14,205,5423,15546,8269,7277,102.12,"嘉義縣"
"303"," 新港鄉",23,380,10551,33507,17716,15791,102.12,"嘉義縣"
"304"," 六腳鄉",25,328,9056,24947,13227,11720,102.12,"嘉義縣"
"305"," 東石鄉",23,357,9455,26305,13975,12330,102.12,"嘉義縣"
"306"," 義竹鄉",22,311,7564,19856,10321,9535,102.12,"嘉義縣"
"307"," 鹿草鄉",15,255,5832,16652,8936,7716,102.12,"嘉義縣"
"308"," 水上鄉",26,409,17769,51289,26477,24812,102.12,"嘉義縣"
"309"," 中埔鄉",22,375,15916,46694,24346,22348,102.12,"嘉義縣"
"310"," 竹崎鄉",24,407,11545,37372,19936,17436,102.12,"嘉義縣"
"311"," 梅山鄉",18,200,6780,20576,10911,9665,102.12,"嘉義縣"
"312"," 番路鄉",11,115,4296,12174,6618,5556,102.12,"嘉義縣"
"313"," 大埔鄉",5,49,1940,4567,2375,2192,102.12,"嘉義縣"
"314"," 阿里山鄉",12,78,1935,5732,3048,2684,102.12,"嘉義縣"
"315"," 嘉義縣",357,5347,181300,524783,273324,251459,103.12,"嘉義縣"
"316"," 太保市",18,250,12158,37038,19077,17961,103.12,"嘉義縣"
"317"," 朴子市",27,414,15405,43250,21923,21327,103.12,"嘉義縣"
"318"," 布袋鎮",23,375,10115,28423,14565,13858,103.12,"嘉義縣"
"319"," 大林鎮",21,317,11389,32159,16479,15680,103.12,"嘉義縣"
"320"," 民雄鄉",28,522,24041,71903,36837,35066,103.12,"嘉義縣"
"321"," 溪口鄉",14,205,5435,15393,8224,7169,103.12,"嘉義縣"
"322"," 新港鄉",23,380,10589,33186,17576,15610,103.12,"嘉義縣"
"323"," 六腳鄉",25,328,9024,24613,13052,11561,103.12,"嘉義縣"
"324"," 東石鄉",23,357,9439,26235,13921,12314,103.12,"嘉義縣"
"325"," 義竹鄉",22,311,7550,19578,10177,9401,103.12,"嘉義縣"
